id,ticker,dividend_yield,predicted_high,predicted_low,is_odd,last_updated,company_name,total_dividend_2025,previous_close,live_price_2026,base_yield,live_yield,sector,last_mined,last_live_update,pe_ratio,payout_ratio,pbv,roe,beta
1,BBCA.JK,4.44,,,false,2026-03-06 04:08:16.927611+00,Bank Central Asia Tbk,305,6875,,4.3,,Financial Services,2026-03-13 16:45:53.484687+00,,14.71753,65.31,3.0046723,21.14,0.015
2,BBRI.JK,9.84,,,false,2026-03-06 04:08:18.10544+00,Bank Rakyat Indonesia (Persero),345.4,3510,3690,9.21,9.36,Financial Services,2026-03-13 16:45:52.822381+00,2026-03-06 07:54:12.204757+00,9.337092,91.86,1.6313335,17.46,0.251
3,TLKM.JK,7.15,,,false,2026-03-06 04:08:19.18511+00,Telkom Indonesia (Persero) Tbk.,212.47,2970,,6.52,,Communication Services,2026-03-13 16:45:46.955043+00,,13.54618,96.9,2.1453383,18.31,0.028
4,ASII.JK,6.97,,,false,2026-03-06 04:08:20.364802+00,Astra International Tbk,406,5825,,6.42,,Industrials,2026-03-13 16:45:47.535074+00,,7.1931343,50.12,1.0233235,14.29,0.07
5,ADRO.JK,12.57,,,false,2026-03-06 04:08:21.416193+00,Alamtri Resources Indonesia Tbk,311.83,2480,,12.83,,Energy,2026-03-13 16:45:48.411498+00,,9.631068,124.09,15897.436,9.44,-0.175
6,BMRI.JK,9.81,,,false,2026-03-06 04:08:22.545282+00,Bank Mandiri (Persero) Tbk,466.18,4750,,9.1,,Financial Services,2026-03-13 16:45:48.988294+00,,7.8754516,93.86,1.5078541,19.14,-0.017
7,BBNI.JK,8.82,,,false,2026-03-06 04:08:23.602599+00,Bank Negara Indonesia  (Persero,374.06,4240,,8.74,,Financial Services,2026-03-13 16:45:49.560003+00,,7.8936586,69.66,0.9198666,11.73,0.115
8,UNVR.JK,7.17,,,false,2026-03-06 04:08:24.691863+00,Unilever Indonesia Tbk,134,1870,,6.73,,Consumer Defensive,2026-03-13 16:45:50.126092+00,,20.10969,144.09,15.87113,106.8,0.175
9,GOTO.JK,0,,,false,2026-03-06 04:08:25.500586+00,GoTo Gojek Tokopedia Tbk.,0,55,,0,,Technology,2026-03-13 16:45:50.717444+00,,,0,1.8365166,-5.08,0.422
10,AMMN.JK,0,,,false,2026-03-06 04:08:26.333019+00,Amman Mineral Internasional Tbk,0,4950,,0,,Basic Materials,2026-03-13 16:45:51.645599+00,,,0,72794.12,-4.88,-1.233
11,BREN.JK,0,,,false,2026-03-06 04:11:02.380999+00,Barito Renewables Energy Tbk.,0,6300,,0,,Utilities,2026-03-13 16:45:52.188146+00,,354.92957,21.59,1260000,22.04,0.41
12,AALI.JK,4.23,,,false,2026-03-06 04:23:06.597747+00,Astra Agro Lestari Tbk.,307,7250,,,,,2026-03-13 16:49:42.462738+00,,9.478611,40.150002,0.59237176,6.493,0.255
13,ABBA.JK,0,,,false,2026-03-06 04:23:07.980266+00,Mahaka Media Tbk.,0,41,,,,,2026-03-13 16:45:54.035819+00,,,0,3.5063715,,-0.417
14,ABDA.JK,0,,,false,2026-03-06 04:23:09.394876+00,Asuransi Bina Dana Arta Tbk.,0,2550,,,,,2026-03-13 16:45:54.610109+00,,15.08251,0,0.9516623,6.56,-0.288
15,ABMM.JK,5.37,,,false,2026-03-06 04:23:10.759179+00,ABM Investama Tbk.,153,2850,,,,,2026-03-13 16:45:55.201541+00,,6.6677585,36.09,9134.615,8.26,-0.829
16,ACES.JK,8.87,,,false,2026-03-06 04:23:12.186597+00,Aspirasi Hidup Indonesia Tbk.,33.87,382,,,,,2026-03-13 16:45:55.806881+00,,8.230985,72.95,1.0255336,12.58,0.177
17,ACST.JK,0,,,false,2026-03-06 04:23:13.496578+00,Acset Indonusa Tbk.,0,110,,,,,2026-03-13 16:45:56.362756+00,,,0,8.554985,-187.78,0.018
18,ADES.JK,0,,,false,2026-03-06 04:23:14.846465+00,Akasha Wira International Tbk.,0,14975,,,,,2026-03-13 16:45:56.916027+00,,13.266889,0,3.2158055,27.58,0.307
19,ADHI.JK,0,,,false,2026-03-06 04:23:16.223418+00,Adhi Karya (Persero) Tbk,0,204,,,,,2026-03-13 16:45:57.508169+00,,9.147983,0,0.18960641,2.21,0.191
20,AISA.JK,0,,,false,2026-03-06 04:23:17.959541+00,FKS Food Sejahtera Tbk.,0,121,,,,,2026-03-13 16:45:58.048973+00,,12.643679,0,0.98370785,8.14,0.197
21,AKKU.JK,0,,,false,2026-03-06 04:23:19.512621+00,Anugerah Kagum Karya Utama Tbk.,0,41,,,,,2026-03-13 16:45:58.620488+00,,362.83188,,0.62811184,-2.25,0.645
22,AKPI.JK,1.67,,,false,2026-03-06 04:23:20.904525+00,Argha Karya Prima Industry Tbk.,8.2,490,,,,,2026-03-13 16:45:59.198998+00,,44.504993,74.55,0.1666924,0.41,0.083
23,AKRA.JK,8.06,,,false,2026-03-06 04:23:22.509109+00,AKR Corporindo Tbk,100,1240,,,,,2026-03-13 16:45:59.792961+00,,10.173107,82.07,2.1768174,19.11,-0.458
24,AKSI.JK,0,,,false,2026-03-06 04:23:23.900781+00,Mineral Sumberdaya Mandiri Tbk.,0,300,,,,,2026-03-13 16:46:00.363401+00,,11.7785635,,1.2738745,-5.69,1.542
25,ALDO.JK,0.09,,,false,2026-03-06 04:23:25.258673+00,Alkindo Naratama Tbk.,0.5,540,,,,,2026-03-13 16:46:00.955489+00,,279.79276,25.97,1.4032389,0.27,0.193
26,ALKA.JK,0,,,false,2026-03-06 04:23:26.779997+00,Alakasa Industrindo Tbk,0,1090,,,,,2026-03-13 16:46:01.525817+00,,28.750034,,2.5820572,-2.44,1.766
27,ALMI.JK,0,,,false,2026-03-06 04:23:28.38879+00,Alumindo Light Metal Industry T,0,74,,,,,2026-03-06 08:11:00.475781+00,,,,,,
28,ALTO.JK,0,,,false,2026-03-06 04:23:29.68181+00,Tri Banyan Tirta Tbk.,0,18,,,,,2026-03-06 08:11:00.834306+00,,,,,,
29,AMAG.JK,9.66,,,false,2026-03-06 04:23:31.029513+00,Asuransi Multi Artha Guna Tbk,40,414,,,,,2026-03-13 16:46:02.139284+00,,8.046647,77.78,0.9479302,9.79,0.017
30,AMFG.JK,2.47,,,false,2026-03-06 04:23:32.652324+00,Asahimas Flat Glass Tbk,80,3240,,,,,2026-03-13 16:41:24.200098+00,,10.123419,25,0.30791768,3.08,0.247
31,AMIN.JK,3.39,,,false,2026-03-06 04:23:33.989651+00,Ateliers Mecaniques D Indonesie,8,236,,,,,2026-03-13 16:46:02.707876+00,,,,1.3144922,11.48,0.775
32,AMRT.JK,2.34,,,false,2026-03-06 04:23:46.545779+00,Sumber Alfaria Trijaya Tbk,34.11,1460,,,,,2026-03-13 16:46:03.308042+00,,19.780518,46.23,3.5107548,17.88,-0.203
33,ANJT.JK,0,,,false,2026-03-06 04:23:47.939446+00,Austindo Nusantara Jaya Tbk.,0,1510,,,,,2026-03-13 16:46:03.90699+00,,9.228136,0,12377.049,7.62,0.38
34,ANTM.JK,3.98,,,false,2026-03-06 04:23:49.417997+00,Aneka Tambang Tbk.,151.77267,3810,,,,,2026-03-13 16:46:04.512757+00,,12.335287,49.15,4.5003543,,
35,APEX.JK,0,,,false,2026-03-06 04:23:50.746273+00,Apexindo Pratama Duta Tbk.,0,177,,,,,2026-03-13 16:46:05.078575+00,,40.04525,0,9315.79,1.65,0.386
36,APIC.JK,0,,,false,2026-03-06 04:23:52.177832+00,Pacific Strategic Financial Tbk,0,1160,,,,,2026-03-13 16:46:05.825085+00,,141.98286,0,5.0975566,3.77,-0.131
37,APII.JK,0,,,false,2026-03-06 04:23:53.505503+00,Arita Prima Indonesia Tbk.,0,187,,,,,2026-03-13 16:46:06.37867+00,,9.956342,,0.4840484,2.21,0.019
38,APLI.JK,0,,,false,2026-03-06 04:23:54.898784+00,Asiaplast Industries Tbk,0,252,,,,,2026-03-13 16:46:06.955932+00,,,0,1.0012674,-0.21,-0.53
